,Flood_level,NO_OP_Prop_exp,NO_OP_AAPE,OP1_Prop_exp,OP1_AAPE,OP2_Prop_exp,OP2_AAPE,OP3_Prop_exp,OP3_AAPE,OP4_Prop_exp,OP4_AAPE
1.54,1.54,682,379.8,58,16.3,49,19.5,422,42.0,58,42.0
1.55,1.55,690,386.3,58,16.3,49,19.5,427,44.4,62,44.4
1.56,1.56,699,394.3,60,17.5,49,19.5,432,46.5,64,46.5
1.57,1.57,710,404.2,60,17.5,50,20.7,438,48.7,67,48.7
1.58,1.58,723,414.5,61,18.7,50,20.7,448,54.6,73,54.6
1.59,1.59,728,418.8,61,18.7,50,20.7,451,56.1,73,56.1
1.6,1.6,740,426.0,63,18.7,51,20.7,459,57.3,77,57.3
1.61,1.61,752,437.8,65,21.5,52,22.3,469,66.2,84,66.2
1.62,1.62,763,443.8,67,23.1,54,25.5,478,69.4,88,69.4
1.63,1.63,772,450.5,70,26.3,55,27.1,484,72.1,91,72.1
1.64,1.64,780,456.8,71,26.3,56,28.5,489,74.5,95,74.5
1.65,1.65,791,468.3,74,30.8,57,30.2,496,81.8,101,81.8
1.66,1.66,807,479.5,76,32.0,58,31.4,507,86.6,108,86.6
1.67,1.67,813,483.9,79,33.2,58,31.4,511,87.8,111,87.8
1.68,1.68,823,488.7,79,33.2,57,30.2,519,89.9,113,89.9
1.69,1.69,836,497.2,90,47.4,59,33.0,528,93.9,116,93.9
1.7,1.7,845,506.0,92,50.3,60,34.7,535,100.0,122,100.0
1.71,1.71,854,515.6,93,51.4,61,35.8,542,105.9,127,105.9
1.72,1.72,867,523.7,93,51.4,61,35.8,552,109.4,131,109.4
1.73,1.73,876,528.5,93,51.4,61,35.8,561,114.2,136,114.2
1.74,1.74,882,536.0,94,53.0,62,37.4,566,120.4,140,120.4
1.75,1.75,897,542.2,94,53.0,65,40.6,579,123.6,145,123.6
1.76,1.76,906,550.6,95,54.6,68,45.4,586,128.4,149,128.4
1.77,1.77,913,558.7,95,54.6,70,48.6,592,135.2,154,135.2
1.78,1.78,925,565.2,96,54.6,72,51.8,602,138.4,157,138.4
1.79,1.79,936,574.3,97,55.8,74,54.8,610,142.2,162,142.2
1.8,1.8,949,586.0,99,58.6,76,57.6,617,145.0,166,145.0
1.81,1.81,959,593.9,99,58.6,77,59.2,625,151.1,172,151.1
1.82,1.82,973,610.4,101,61.3,81,66.7,636,163.0,182,163.0
1.83,1.83,989,619.2,114,80.1,85,71.1,650,168.6,187,168.6
1.84,1.84,1003,630.0,118,86.5,87,74.3,663,177.6,196,177.6
1.85,1.85,1023,645.9,124,96.1,92,82.3,680,189.1,205,189.1
1.86,1.86,1030,651.0,125,97.7,93,83.9,685,191.9,207,191.9
1.87,1.87,1044,660.5,126,99.3,94,85.5,694,195.5,213,195.5
1.88,1.88,1058,674.7,128,102.5,97,90.4,705,205.2,222,205.2
1.89,1.89,1079,692.6,132,108.9,103,98.4,722,217.8,235,217.8
1.9,1.9,1087,699.9,136,115.4,106,101.6,728,222.1,239,222.1
1.91,1.91,1093,704.7,138,118.7,107,104.9,734,226.9,241,226.9
1.92,1.92,1101,707.9,138,118.7,109,106.1,741,228.3,244,228.3
1.93,1.93,1113,719.7,144,128.1,115,115.5,752,238.7,251,238.7
1.94,1.94,1124,728.8,146,131.3,119,121.0,762,246.5,258,246.5
1.95,1.95,1131,731.1,149,135.6,124,124.2,769,248.8,264,248.8
1.96,1.96,1137,739.0,151,139.3,127,130.9,774,253.7,268,253.7
1.97,1.97,1153,753.5,155,144.8,133,138.0,788,265.5,281,265.5
1.98,1.98,1162,756.3,154,143.7,135,138.5,797,268.3,288,268.3
1.99,1.99,1172,765.1,156,146.4,138,141.9,804,272.6,294,272.6
2.0,2.0,1184,776.6,159,151.2,144,149.7,815,281.1,303,281.1
2.01,2.01,1197,781.3,160,152.8,151,153.7,827,284.0,309,284.0
2.02,2.02,1209,792.8,162,155.6,155,158.1,836,290.9,316,290.9
2.03,2.03,1215,796.1,162,155.6,159,160.8,841,292.4,321,292.4
2.04,2.04,1226,804.2,162,155.6,166,165.2,851,299.1,330,299.1
2.05,2.05,1232,808.2,166,161.4,169,167.8,856,301.7,333,301.7
2.06,2.06,1242,819.1,168,164.7,175,177.2,864,307.8,340,307.8
2.07,2.07,1251,825.1,170,168.0,180,182.0,873,313.8,346,313.8
2.08,2.08,1256,826.2,171,169.6,180,180.5,878,314.9,350,314.9
2.09,2.09,1264,831.9,172,171.2,186,185.1,886,320.6,356,320.6
2.1,2.1,1275,839.9,174,174.0,190,189.4,897,328.6,365,328.6
2.11,2.11,1284,848.7,178,180.1,197,195.4,906,337.4,373,337.4
2.12,2.12,1290,852.6,181,184.7,203,200.8,912,341.3,377,341.3
2.13,2.13,1298,855.2,183,187.3,211,203.4,920,343.9,384,343.9
2.14,2.14,1306,858.7,183,187.3,216,203.7,926,344.2,389,344.2
2.15,2.15,1321,872.4,188,195.5,228,216.1,941,357.9,403,357.9
2.16,2.16,1327,878.0,189,197.1,234,221.5,946,362.1,407,362.1
2.17,2.17,1333,880.9,190,198.7,239,223.1,952,365.0,413,365.0
2.18,2.18,1341,886.0,191,198.7,243,225.8,960,370.1,420,370.1
2.19,2.19,1353,894.3,193,201.8,254,234.8,971,376.6,430,376.6
2.2,2.2,1358,897.0,192,200.3,260,237.5,976,379.3,435,379.3
2.21,2.21,1370,905.1,197,206.1,269,245.6,988,387.4,445,387.4
2.22,2.22,1382,909.0,198,207.3,280,248.3,1000,391.3,457,391.3
2.23,2.23,1387,914.0,199,208.9,284,253.3,1005,396.3,461,396.3
2.24,2.24,1394,917.0,201,210.3,291,257.6,1012,399.3,467,399.3
2.25,2.25,1399,920.4,201,210.3,296,261.0,1017,402.7,472,402.7
2.26,2.26,1410,925.5,202,211.9,306,266.1,1028,407.8,482,407.8
2.27,2.27,1415,927.1,203,213.5,312,267.7,1033,409.4,487,409.4
2.28,2.28,1427,934.5,205,216.8,322,275.1,1045,416.8,498,416.8
2.29,2.29,1430,937.5,206,218.4,324,276.9,1048,419.8,501,419.8
2.3,2.3,1438,944.7,209,222.8,1438,944.7,1056,427.0,508,427.0
2.31,2.31,1449,951.0,212,226.2,1449,951.0,1067,433.3,518,433.3
2.32,2.32,1457,956.5,216,231.7,1457,956.5,1075,438.8,526,438.8
2.33,2.33,1464,961.0,219,234.5,1464,961.0,1082,443.3,532,443.3
2.34,2.34,1470,965.0,222,237.8,1470,965.0,1088,447.3,537,447.3
2.35,2.35,1478,969.3,222,237.8,1478,969.3,1096,451.6,544,451.6
2.36,2.36,1492,975.6,223,239.5,1492,975.6,1110,457.9,558,457.9
2.37,2.37,1499,978.4,224,241.1,1499,978.4,1117,460.7,564,460.7
2.38,2.38,1510,981.4,225,241.1,1510,981.4,1128,463.7,575,463.7
2.39,2.39,1520,985.5,225,241.1,1520,985.5,1138,467.8,585,467.8
2.4,2.4,1530,990.0,228,244.3,1530,990.0,1148,472.3,595,472.3
2.41,2.41,1536,994.4,228,244.3,1536,994.4,1154,476.7,601,476.7
2.42,2.42,1541,994.4,228,244.3,1541,994.4,1159,476.7,606,476.7
2.43,2.43,1547,999.5,230,247.0,1547,999.5,1165,481.8,612,481.8
2.44,2.44,1552,1001.1,231,248.6,1552,1001.1,1170,483.4,617,483.4
2.45,2.45,1561,1004.8,233,251.2,1561,1004.8,1179,487.1,626,487.1
2.46,2.46,1567,1007.5,233,251.2,1567,1007.5,1185,489.8,632,489.8
2.47,2.47,1570,1009.9,1469,895.0,1570,1009.9,1188,492.2,635,492.2
2.48,2.48,1578,1015.2,1481,904.2,1578,1015.2,1196,497.5,643,497.5
2.49,2.49,1586,1020.4,1487,908.1,1586,1020.4,1204,502.7,651,502.7
2.5,2.5,1590,1024.3,1492,913.3,1590,1024.3,1208,506.6,655,506.6
2.51,2.51,1599,1031.8,1506,920.8,1599,1031.8,1217,514.1,664,514.1
2.52,2.52,1604,1033.0,1514,922.0,1604,1033.0,1222,515.3,669,515.3
2.53,2.53,1606,1034.2,1516,923.2,1606,1034.2,1224,516.5,671,516.5
2.54,2.54,1610,1038.8,1519,926.6,1610,1038.8,1228,521.1,675,521.1
2.55,2.55,1613,1040.0,1520,926.1,1613,1040.0,1231,522.3,678,522.3
2.56,2.56,1615,1040.5,1524,929.5,1615,1040.5,1233,522.8,680,522.8
2.57,2.57,1617,1042.2,1526,931.2,1617,1042.2,1235,524.5,682,524.5
2.58,2.58,1624,1050.3,1533,937.9,1624,1050.3,1242,532.6,689,532.6
2.59,2.59,1628,1055.7,1537,943.3,1628,1055.7,1246,538.0,693,538.0
2.6,2.6,1635,1061.3,1545,950.3,1635,1061.3,1253,543.6,700,543.6
2.61,2.61,1640,1068.8,1549,956.6,1640,1068.8,1258,551.1,705,551.1
2.62,2.62,1642,1068.8,1552,957.8,1642,1068.8,1260,551.1,707,551.1
2.63,2.63,1644,1069.9,1553,958.9,1644,1069.9,1262,552.2,709,552.2
2.64,2.64,1646,1072.9,1555,961.9,1646,1072.9,1264,555.2,711,555.2
2.65,2.65,1646,1072.9,1555,961.9,1646,1072.9,1264,555.2,711,555.2
2.66,2.66,1650,1077.3,1559,964.6,1650,1077.3,1268,559.6,715,559.6
2.67,2.67,1650,1076.2,1560,965.2,1650,1076.2,1268,558.5,715,558.5
2.68,2.68,1653,1080.7,1563,969.7,1653,1080.7,1271,563.0,718,563.0
2.69,2.69,1657,1082.4,1566,971.4,1657,1082.4,1275,564.7,722,564.7
2.7,2.7,1662,1087.0,1570,976.0,1662,1087.0,1280,569.3,727,569.3
2.71,2.71,1667,1094.8,1576,983.8,1667,1094.8,1285,577.1,732,577.1
2.72,2.72,1667,1094.2,1577,983.2,1667,1094.2,1285,576.5,732,576.5
2.73,2.73,1668,1094.2,1578,983.2,1668,1094.2,1286,576.5,733,576.5
2.74,2.74,1669,1095.9,1579,984.9,1669,1095.9,1287,578.2,734,578.2
2.75,2.75,1671,1098.8,1581,987.8,1671,1098.8,1289,581.1,736,581.1
2.76,2.76,1673,1100.2,1583,989.2,1673,1100.2,1291,582.5,738,582.5
2.77,2.77,1672,1098.8,1582,987.8,1672,1098.8,1290,581.1,737,581.1
2.78,2.78,1675,1102.6,1585,991.6,1675,1102.6,1293,584.9,740,584.9
2.79,2.79,1675,1101.4,1585,990.4,1675,1101.4,1293,583.7,740,583.7
2.8,2.8,1679,1105.0,1589,994.0,1679,1105.0,1297,587.3,744,587.3
2.81,2.81,1681,1107.7,1591,996.7,1681,1107.7,1299,590.0,746,590.0
2.82,2.82,1683,1110.7,1593,999.7,1683,1110.7,1301,593.0,748,593.0
2.83,2.83,1683,1110.7,1593,999.7,1683,1110.7,1301,593.0,748,593.0
2.84,2.84,1684,1111.9,1594,1000.9,1684,1111.9,1302,594.2,749,594.2
2.85,2.85,1687,1114.9,1596,1002.5,1687,1114.9,1305,597.2,752,597.2
2.86,2.86,1687,1114.9,1597,1003.9,1687,1114.9,1305,597.2,752,597.2
2.87,2.87,1690,1117.9,1599,1005.4,1690,1117.9,1308,600.2,755,600.2
2.88,2.88,1690,1118.0,1600,1007.0,1690,1118.0,1308,600.3,755,600.3
2.89,2.89,1692,1120.3,1601,1008.2,1692,1120.3,1310,602.6,757,602.6
2.9,2.9,1690,1118.0,1600,1007.0,1690,1118.0,1308,600.3,755,600.3
2.91,2.91,1695,1125.2,1605,1014.2,1695,1125.2,1313,607.5,760,607.5
2.92,2.92,1699,1130.8,1609,1019.8,1699,1130.8,1317,613.1,764,613.1
2.93,2.93,1699,1130.8,1609,1019.8,1699,1130.8,1317,613.1,764,613.1
2.94,2.94,1700,1131.9,1610,1020.9,1700,1131.9,1318,614.2,765,614.2
2.95,2.95,1700,1131.9,1610,1020.9,1700,1131.9,1318,614.2,765,614.2
2.96,2.96,1702,1134.7,1612,1023.7,1702,1134.7,1320,617.0,767,617.0
2.97,2.97,1703,1135.8,1613,1024.8,1703,1135.8,1321,618.1,768,618.1
2.98,2.98,1704,1137.3,1614,1026.3,1704,1137.3,1322,619.6,769,619.6
2.99,2.99,1706,1140.4,1615,1027.9,1706,1140.4,1324,622.7,771,622.7
3.0,3.0,1707,1141.6,1617,1030.6,1707,1141.6,1325,623.9,772,623.9
3.01,3.01,1709,1144.7,1619,1033.7,1709,1144.7,1327,627.0,774,627.0
3.02,3.02,1710,1145.9,1620,1034.9,1710,1145.9,1328,628.2,775,628.2
3.03,3.03,1712,1148.6,1622,1037.6,1712,1148.6,1330,630.9,777,630.9
3.04,3.04,1716,1152.5,1625,1041.5,1716,1152.5,1334,634.8,781,634.8
3.05,3.05,1723,1160.8,1631,1049.8,1723,1160.8,1341,643.1,788,643.1
3.06,3.06,1724,1161.1,1632,1050.1,1724,1161.1,1342,643.4,789,643.4
3.07,3.07,1726,1164.1,1635,1053.1,1726,1164.1,1344,646.4,791,646.4
3.08,3.08,1731,1169.5,1639,1057.0,1731,1169.5,1349,651.8,796,651.8
3.09,3.09,1731,1169.5,1640,1058.5,1731,1169.5,1349,651.8,796,651.8
3.1,3.1,1732,1171.2,1641,1060.2,1732,1171.2,1350,653.5,797,653.5
3.11,3.11,1733,1172.8,1641,1060.2,1733,1172.8,1351,655.1,798,655.1
3.12,3.12,1735,1176.0,1644,1065.0,1735,1176.0,1353,658.3,800,658.3
3.13,3.13,1739,1182.1,1648,1071.1,1739,1182.1,1357,664.4,804,664.4
3.14,3.14,1740,1182.9,1649,1071.9,1740,1182.9,1358,665.2,805,665.2
3.15,3.15,1741,1184.6,1650,1073.6,1741,1184.6,1359,666.9,806,666.9
3.16,3.16,1745,1190.2,1653,1078.1,1745,1190.2,1363,672.5,810,672.5
3.17,3.17,1744,1188.5,1653,1077.5,1744,1188.5,1362,670.8,809,670.8
3.18,3.18,1748,1194.1,1657,1083.1,1748,1194.1,1366,676.4,813,676.4
3.19,3.19,1749,1195.8,1658,1084.8,1749,1195.8,1367,678.1,814,678.1
3.2,3.2,1749,1195.8,1658,1084.8,1749,1195.8,1367,678.1,814,678.1
3.21,3.21,1751,1198.4,1660,1087.4,1751,1198.4,1369,680.7,816,680.7
3.22,3.22,1753,1201.0,1662,1090.0,1753,1201.0,1371,683.3,818,683.3
3.23,3.23,1756,1204.7,1665,1093.7,1756,1204.7,1374,687.0,821,687.0
3.24,3.24,1759,1208.9,1668,1097.9,1759,1208.9,1377,691.2,824,691.2
3.25,3.25,1763,1214.5,1673,1103.5,1763,1214.5,1381,696.8,828,696.8
3.26,3.26,1763,1214.5,1673,1103.5,1763,1214.5,1381,696.8,828,696.8
3.27,3.27,1764,1215.6,1673,1103.5,1764,1215.6,1382,697.9,829,697.9
3.28,3.28,1767,1218.5,1675,1105.0,1767,1218.5,1385,700.8,832,700.8
3.29,3.29,1768,1220.0,1676,1106.5,1768,1220.0,1386,702.3,833,702.3
3.3,3.3,1770,1223.4,1679,1111.3,1770,1223.4,1388,705.7,835,705.7
3.31,3.31,1770,1223.4,1680,1112.4,1770,1223.4,1388,705.7,835,705.7
3.32,3.32,1773,1228.1,1683,1117.1,1773,1228.1,1391,710.4,838,710.4
3.33,3.33,1775,1229.8,1685,1118.8,1775,1229.8,1393,712.1,840,712.1
